COUNTY,OSHPD_ID,HOSPITAL,Year,FY_Score,CY_Score
ALAMEDA,10735,ALAMEDA HOSPITAL,1996,,1.02
ALAMEDA,10735,ALAMEDA HOSPITAL,1997,,1.07
ALAMEDA,10735,ALAMEDA HOSPITAL,1998,,1.03
ALAMEDA,10735,ALAMEDA HOSPITAL,1999,,1.04
ALAMEDA,10735,ALAMEDA HOSPITAL,2000,,1.08
ALAMEDA,10735,ALAMEDA HOSPITAL,2001,,1.15
ALAMEDA,10735,ALAMEDA HOSPITAL,2002,,1.17
ALAMEDA,10735,ALAMEDA HOSPITAL,2003,,1.31
ALAMEDA,10735,ALAMEDA HOSPITAL,2004,,1.28
ALAMEDA,10735,ALAMEDA HOSPITAL,2005,,1.3
ALAMEDA,10735,ALAMEDA HOSPITAL,2006,,1.27
ALAMEDA,10735,ALAMEDA HOSPITAL,2007,,1.283812768
ALAMEDA,10735,ALAMEDA HOSPITAL,2008,1.24,
ALAMEDA,10735,ALAMEDA HOSPITAL,2009,1.2633523315,
ALAMEDA,10735,ALAMEDA HOSPITAL,2010,1.35213610081542,
ALAMEDA,10735,ALAMEDA HOSPITAL,2011,1.32304164485981,
ALAMEDA,10735,ALAMEDA HOSPITAL,2012,1.33003995279838,
ALAMEDA,10735,ALAMEDA HOSPITAL,2013,1.33547732463295,
ALAMEDA,10735,ALAMEDA HOSPITAL,2014,1.2984673432403,
ALAMEDA,10735,ALAMEDA HOSPITAL,2015,1.336688220757826,
ALAMEDA,10735,ALAMEDA HOSPITAL,2016,1.376264552238806,
ALAMEDA,10735,ALAMEDA HOSPITAL,2017,1.2994837218337216,
ALAMEDA,10735,ALAMEDA HOSPITAL,2018,1.3538540609137057,
ALAMEDA,10735,ALAMEDA HOSPITAL,2019,1.3495148625721078,
ALAMEDA,10735,ALAMEDA HOSPITAL,2020,1.396800237435693,
ALAMEDA,10735,ALAMEDA HOSPITAL,2021,1.5022968327702702,
ALAMEDA,10735,ALAMEDA HOSPITAL,2022,1.428521475770925,
ALAMEDA,10735,ALAMEDA HOSPITAL,2023,1.4133054482758614,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,1996,,1.05
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,1997,,1.1
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,1998,,0.99
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,1999,,1.0
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2000,,0.99
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2001,,0.95
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2002,,0.94
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2003,,0.91
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2004,,0.88
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2005,,0.87
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2006,,0.86
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2007,,0.8449779039
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2008,0.91,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2009,0.9519309994,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2010,0.964080453856584,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2011,0.973877958160372,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2012,0.962742385841316,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2013,0.975483232581741,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2014,0.99101961784621,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2015,1.0658469125981913,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2016,1.1327859564777334,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2017,1.1776031103225135,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2018,1.2039414010958296,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2019,1.206563224282916,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2020,1.2217063326910729,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2021,1.2745848468708387,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2022,1.2577586013612694,
ALAMEDA,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2023,1.285077882977999,
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,1996,,1.08
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,1997,,1.08
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,1998,,1.05
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,1999,,1.06
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2000,,1.03
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2001,,1.12
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2002,,1.11
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2003,,1.12
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2004,,1.15
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2005,,1.07
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2006,,1.13
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2007,,1.0987765318
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2008,1.26,
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2009,1.2528234163,
ALAMEDA,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,2010,1.23696351153424,
