Year,Total Number of Hospitals,01 - NORTHERN CALIFORNIA,02 - GOLDEN EMPIRE,03 - NORTH BAY,04 - WEST BAY,05 - EAST BAY,06 - NORTH SAN JOAQUIN,07 - SANTA CLARA,08 - MID-COAST,08 - MIDCOAST,09 - CENTRAL,10 - SANTA BARBARA / VENTURA,11 - LOS ANGELES COUNTY,12 - INLAND COUNTIES,13 - ORANGE COUNTY,14 - SAN DIEGO / IMPERIAL,Rural,Teaching,DSH,Non-DSH,Number of Rural and DSH Hospitals,01 - NORTHERN CALIFORNIA (%),02 - GOLDEN EMPIRE (%),03 - NORTH BAY (%),04 - WEST BAY (%),05 - EAST BAY (%),06 - NORTH SAN JOAQUIN (%),07 - SANTA CLARA (%),08 - MID-COAST (%),08 - MIDCOAST (%),09 - CENTRAL (%),10 - SANTA BARBARA / VENTURA (%),11 - LOS ANGELES COUNTY (%),12 - INLAND COUNTIES (%),13 - ORANGE COUNTY (%),14 - SAN DIEGO / IMPERIAL (%),Rural (%),Teaching (%),DSH (%),Non-DSH (%),Number of Rural and DSH Hospitals (%)
1995,404,,,,,,,,,,,,,,,,79,31,85,319,15,,,,,,,,,,,,,,,,19.554455445544555,7.673267326732673,21.03960396039604,78.96039603960396,3.7128712871287126
1996,402,,,,,,,,,,,,,,,,79,31,95,307,17,,,,,,,,,,,,,,,,19.65174129353234,7.711442786069651,23.6318407960199,76.3681592039801,4.228855721393035
1997,394,,,,,,,,,,,,,,,,80,31,101,293,21,,,,,,,,,,,,,,,,20.304568527918782,7.868020304568528,25.63451776649746,74.36548223350253,5.32994923857868
1998,383,,,,,,,,,,,,,,,,77,30,99,284,18,,,,,,,,,,,,,,,,20.10443864229765,7.83289817232376,25.848563968668408,74.1514360313316,4.699738903394255
1999,378,32.0,19.0,12.0,16.0,19.0,19.0,12.0,12.0,0.0,33.0,15.0,92.0,38.0,33.0,26.0,76,31,109,269,21,8.465608465608465,5.026455026455026,3.1746031746031744,4.232804232804233,5.026455026455026,5.026455026455026,3.1746031746031744,3.1746031746031744,0.0,8.73015873015873,3.968253968253968,24.33862433862434,10.052910052910052,8.73015873015873,6.878306878306878,20.105820105820104,8.201058201058201,28.835978835978835,71.16402116402116,5.555555555555555
2000,352,30.0,21.0,14.0,19.0,18.0,17.0,11.0,0.0,10.0,31.0,13.0,83.0,34.0,26.0,25.0,71,28,95,257,19,8.522727272727272,5.965909090909091,3.977272727272727,5.3977272727272725,5.113636363636364,4.829545454545454,3.125,0.0,2.840909090909091,8.806818181818182,3.6931818181818183,23.579545454545457,9.659090909090908,7.386363636363637,7.1022727272727275,20.170454545454543,7.954545454545454,26.988636363636363,73.01136363636364,5.3977272727272725
2001,394,31.0,21.0,14.0,21.0,21.0,20.0,13.0,0.0,12.0,31.0,14.0,100.0,38.0,34.0,24.0,70,27,115,279,20,7.868020304568528,5.32994923857868,3.5532994923857872,5.32994923857868,5.32994923857868,5.0761421319796955,3.2994923857868024,0.0,3.0456852791878175,7.868020304568528,3.5532994923857872,25.380710659898476,9.644670050761421,8.629441624365482,6.091370558375635,17.766497461928935,6.852791878172589,29.187817258883246,70.81218274111674,5.0761421319796955
2002,391,32.0,21.0,15.0,20.0,19.0,20.0,13.0,0.0,12.0,30.0,14.0,100.0,37.0,34.0,24.0,73,27,121,270,24,8.184143222506394,5.3708439897698215,3.8363171355498724,5.115089514066496,4.859335038363171,5.115089514066496,3.324808184143223,0.0,3.0690537084398977,7.672634271099745,3.580562659846547,25.575447570332482,9.462915601023019,8.695652173913043,6.138107416879795,18.67007672634271,6.905370843989769,30.946291560102303,69.0537084398977,6.138107416879795
2003,390,33.0,21.0,15.0,20.0,20.0,21.0,13.0,0.0,12.0,30.0,14.0,97.0,36.0,33.0,25.0,72,27,124,266,21,8.461538461538462,5.384615384615385,3.8461538461538463,5.128205128205128,5.128205128205128,5.384615384615385,3.3333333333333335,0.0,3.076923076923077,7.6923076923076925,3.5897435897435894,24.871794871794872,9.230769230769232,8.461538461538462,6.41025641025641,18.461538461538463,6.923076923076923,31.794871794871792,68.2051282051282,5.384615384615385
2004,377,32.0,19.0,15.0,20.0,20.0,21.0,13.0,0.0,11.0,31.0,12.0,94.0,35.0,30.0,24.0,70,27,118,259,21,8.488063660477453,5.039787798408488,3.978779840848806,5.305039787798409,5.305039787798409,5.570291777188329,3.4482758620689653,0.0,2.9177718832891246,8.222811671087534,3.183023872679045,24.93368700265252,9.283819628647215,7.957559681697612,6.36604774535809,18.56763925729443,7.161803713527852,31.29973474801061,68.70026525198939,5.570291777188329
2005,365,30.0,19.0,13.0,20.0,19.0,21.0,12.0,0.0,11.0,28.0,12.0,92.0,35.0,31.0,22.0,68,24,112,253,22,8.21917808219178,5.205479452054795,3.5616438356164384,5.47945205479452,5.205479452054795,5.7534246575342465,3.287671232876712,0.0,3.0136986301369864,7.671232876712329,3.287671232876712,25.205479452054796,9.58904109589041,8.493150684931507,6.027397260273973,18.63013698630137,6.575342465753424,30.684931506849317,69.31506849315069,6.027397260273973
2006,361,30.0,18.0,14.0,19.0,19.0,20.0,12.0,0.0,11.0,27.0,12.0,90.0,37.0,30.0,22.0,65,26,118,243,23,8.310249307479225,4.986149584487535,3.8781163434903045,5.263157894736842,5.263157894736842,5.540166204986149,3.32409972299169,0.0,3.0470914127423825,7.479224376731302,3.32409972299169,24.930747922437675,10.249307479224377,8.310249307479225,6.094182825484765,18.005540166204987,7.202216066481995,32.686980609418285,67.31301939058172,6.3711911357340725
2007,360,29.0,18.0,14.0,19.0,19.0,20.0,12.0,0.0,11.0,26.0,12.0,91.0,37.0,30.0,22.0,63,24,114,246,26,8.055555555555555,5.0,3.888888888888889,5.277777777777778,5.277777777777778,5.555555555555555,3.3333333333333335,0.0,3.0555555555555554,7.222222222222221,3.3333333333333335,25.27777777777778,10.277777777777777,8.333333333333332,6.111111111111111,17.5,6.666666666666667,31.666666666666664,68.33333333333333,7.222222222222221
2008,356,29.0,18.0,14.0,19.0,20.0,18.0,12.0,12.0,0.0,25.0,12.0,89.0,37.0,29.0,22.0,61,22,113,243,26,8.146067415730338,5.056179775280898,3.932584269662921,5.337078651685393,5.617977528089887,5.056179775280898,3.3707865168539324,3.3707865168539324,0.0,7.02247191011236,3.3707865168539324,25.0,10.393258426966293,8.146067415730338,6.179775280898876,17.134831460674157,6.179775280898876,31.741573033707866,68.25842696629213,7.303370786516854
2009,360,29.0,19.0,15.0,19.0,20.0,18.0,12.0,12.0,0.0,25.0,12.0,90.0,38.0,30.0,21.0,62,23,123,237,25,8.055555555555555,5.277777777777778,4.166666666666666,5.277777777777778,5.555555555555555,5.0,3.3333333333333335,3.3333333333333335,0.0,6.944444444444445,3.3333333333333335,25.0,10.555555555555555,8.333333333333332,5.833333333333333,17.22222222222222,6.388888888888888,34.166666666666664,65.83333333333333,6.944444444444445
2010,356,,,,,,,,,,,,,,,,64,23,122,234,27,,,,,,,,,,,,,,,,17.97752808988764,6.460674157303371,34.26966292134831,65.73033707865169,7.584269662921349
