lic bed size,DAY_TOT,adj pat days,DIS_TOT,DSH hosp,FAC_NO,FAC_NAME
50-99,6561.0,11664.826104436723,1378.0,Non-DSH,106540680.0,ALTA HOSPITAL DISTRICT
1-49,3772.0,6399.517368129867,44.0,Non-DSH,106190045.0,AVALON MUNICIPAL HOSPITAL & CLINIC
50-99,10795.0,16834.779286407655,2949.0,Non-DSH,106361105.0,BARSTOW COMMUNITY HOSPITAL
100-149,19247.0,35652.1982854447,6769.0,Non-DSH,106090793.0,BARTON MEMORIAL HOSPITAL
1-49,6978.0,14990.257100616785,553.0,Non-DSH,106361110.0,BEAR VALLEY COMMUNITY HOSPITAL
50-99,8933.0,20098.662041170166,1040.0,Non-DSH,106040802.0,BIGGS-GRIDLEY MEMORIAL HOSPITAL
1-49,1081.0,5984.706369949623,266.0,DSH,106240803.0,BLOSS MEMORIAL DISTRICT HOSPITAL
1-49,6328.0,11685.957202004707,233.0,DSH,106200692.0,CHOWCHILLA DISTRICT MEMORIAL HOSPITAL
50-99,16603.0,28313.18028437295,1068.0,Non-DSH,106100697.0,COALINGA REGIONAL MEDICAL CENTER
1-49,9065.0,16494.478473738705,1868.0,Non-DSH,106490964.0,COLUMBIA HEALDSBURG GENERAL HOSPITAL
50-99,4119.0,8391.645518647869,942.0,Non-DSH,106060870.0,COLUSA COMMUNITY HOSPITAL
1-49,5265.0,13123.122811827696,1159.0,Non-DSH,106160702.0,CORCORAN DISTRICT HOSPITAL
1-49,8127.0,19487.62611542801,79.0,Non-DSH,106500850.0,DEL PUERTO HOSPITAL
1-49,10022.0,18413.182736980594,152.0,Non-DSH,106240853.0,DOS PALOS MEMORIAL HOSPITAL
1-49,6812.0,15706.64935323888,448.0,Non-DSH,106320859.0,EASTERN PLUMAS DISTRICT HOSPITAL
1-49,1792.0,4297.837390713819,605.0,Non-DSH,106474007.0,FAIRCHILD MEDICAL CENTER
100-149,35048.0,55360.991668531264,2195.0,Non-DSH,106370705.0,FALLBROOK HOSPITAL DISTRICT
1-49,3559.0,6879.534919206907,930.0,Non-DSH,106230949.0,FRANK R HOWARD MEMORIAL HOSPITAL
1-49,7897.0,16608.693093281996,1261.0,DSH,106270777.0,GEORGE L. MEE MEMORIAL HOSPITAL
50-99,817.0,5454.36386199667,307.0,Non-DSH,106110889.0,GLENN MEDICAL CENTER
50-99,16848.0,37888.947388084984,5001.0,Non-DSH,106160725.0,HANFORD COMMUNITY HOSPITAL
