FAC_NO,FAC_NAME,Year,Gross_Outpatient_Percentage,Gross_Inpatient_Percentage,TYPE_CARE,HSA name,DSH hosp,lic bed size,TEACH_RURL,DAY_TOT,adj pat days,DIS_TOT,county name,COUNTY,OSHPD_ID,HOSPITAL,FY_Score,CY_Score
106010846.0,alameda county medical center,1997,29.524110679604355,70.47588932039565,GENERAL ACUTE,,DSH,500+,Teaching,119059.0,168935.78945664252,12689.0,ALAMEDA,,,,,
106010735.0,alameda hospital,1997,24.169034171605848,75.83096582839414,GENERAL ACUTE,,Non-DSH,100-149,,21247.0,28018.89672364462,4191.0,ALAMEDA,ALAMEDA,10735.0,alameda hospital,,1.07
106430705.0,alexian brothers hospital,1997,25.577968092144392,74.4220319078556,GENERAL ACUTE,,DSH,150-199,,45374.0,60968.50467100799,12281.0,SANTA CLARA,,,,,
106190017.0,alhambra hospital  alhambra,1997,16.35536376572875,83.64463623427125,GENERAL ACUTE,,Non-DSH,100-149,,33321.0,39836.38581041204,2765.0,LOS ANGELES,,,,,
106010739.0,alta bates medical center,1997,25.772028819527428,74.22797118047258,GENERAL ACUTE,,Non-DSH,500+,,133814.0,180274.3600180776,21885.0,ALAMEDA,,,,,
106540680.0,alta hospital district,1997,43.753983632001855,56.24601636799815,GENERAL ACUTE,,Non-DSH,50-99,Rural,6561.0,11664.826104436725,1378.0,TULARE,TULARE,540680.0,alta hospital district,,1.04
106370652.0,alvarado hospital medical center,1997,21.063402270644737,78.93659772935526,GENERAL ACUTE,,Non-DSH,200-299,,33849.0,42881.250235861255,7704.0,SAN DIEGO,,,,,
106301097.0,anaheim general hospital,1997,30.26105128296681,69.7389487170332,GENERAL ACUTE,,Non-DSH,100-149,,19430.0,27861.045165503587,5189.0,ORANGE,,,,,
106301098.0,anaheim memorial medical center,1997,23.415593532103617,76.58440646789639,GENERAL ACUTE,,Non-DSH,200-299,,41755.0,54521.54286460833,8551.0,ORANGE,,,,,
106190034.0,antelope valley hospital medical ctr,1997,22.38358134963784,77.61641865036216,GENERAL ACUTE,,Non-DSH,300-499,,77341.0,99645.15413729298,18741.0,LOS ANGELES,,,,,
106400466.0,arroyo grande community hospital,1997,39.24039237166602,60.75960762833398,GENERAL ACUTE,,Non-DSH,150-199,,8914.0,14670.930817273977,2191.0,SAN LUIS OBISPO,,,,,
106190045.0,avalon municipal hospital  clinic,1997,41.05805511545485,58.94194488454515,GENERAL ACUTE,,Non-DSH,1-49,Rural,3772.0,6399.517368129867,44.0,LOS ANGELES,,,,,
106150722.0,bakersfield memorial hospital,1997,15.943702670751463,84.05629732924854,GENERAL ACUTE,,Non-DSH,200-299,,49496.0,58884.34486487568,10025.0,KERN,KERN,150722.0,bakersfield memorial hospital,,1.25
106361105.0,barstow community hospital,1997,35.87679519673984,64.12320480326017,GENERAL ACUTE,,Non-DSH,50-99,Rural,10795.0,16834.779286407655,2949.0,SAN BERNARDINO,SAN BERNARDINO,361105.0,barstow community hospital,,1.01
106361105.0,barstow community hospital,1997,35.87679519673984,64.12320480326017,GENERAL ACUTE,,Non-DSH,50-99,Rural,10795.0,16834.779286407655,2949.0,SAN BERNARDINO,SAN BERNARDINO,364430.0,barstow community hospital,,
106090793.0,barton memorial hospital,1997,46.01454910044706,53.98545089955293,GENERAL ACUTE,,Non-DSH,100-149,Rural,19247.0,35652.1982854447,6769.0,EL DORADO,EL DORADO,90793.0,barton memorial hospital,,0.9
106190057.0,bay harbor hospital,1997,17.795881736643494,82.2041182633565,GENERAL ACUTE,,DSH,300-499,,68566.0,83409.44644687483,5506.0,LOS ANGELES,,,,,
106361110.0,bear valley community hospital,1997,53.44976438254094,46.55023561745906,GENERAL ACUTE,,Non-DSH,1-49,Rural,6978.0,14990.257100616784,553.0,SAN BERNARDINO,SAN BERNARDINO,361110.0,bear valley community hospital,,1.01
106190066.0,bellflower medical center,1997,26.038165206227053,73.96183479377295,GENERAL ACUTE,,DSH,100-149,,24082.0,32560.035952525515,5355.0,LOS ANGELES,,,,,
106190081.0,beverly hospital,1997,21.827723711426263,78.17227628857374,GENERAL ACUTE,,Non-DSH,200-299,,42099.0,53854.13090005352,10435.0,LOS ANGELES,,,,,
106040802.0,biggsgridley memorial hospital,1997,55.55425539420678,44.44574460579322,GENERAL ACUTE,,Non-DSH,50-99,Rural,8933.0,20098.66204117017,1040.0,BUTTE,,,,,
106240803.0,bloss memorial district hospital,1997,81.93729260590108,18.06270739409893,GENERAL ACUTE,,DSH,1-49,Rural,1081.0,5984.706369949623,266.0,MERCED,MERCED,240803.0,bloss memorial district hospital,,0.93
106301126.0,brea community hospital,1997,37.206203875746674,62.79379612425333,GENERAL ACUTE,,Non-DSH,150-199,,14012.0,22314.306292732697,2848.0,ORANGE,ORANGE,301126.0,brea community hospital,,1.16
106070904.0,brookside hospital,1997,23.865936980405717,76.1340630195943,GENERAL ACUTE,,Non-DSH,300-499,,31610.0,41518.86651821626,4245.0,CONTRA COSTA,,,,,
106190110.0,brotman medical center,1997,17.600530549568575,82.39946945043143,GENERAL ACUTE,,Non-DSH,300-499,,46675.0,56644.78219496062,6449.0,LOS ANGELES,,,,,
106190125.0,california hospital medical center,1997,21.392739107428483,78.60726089257152,GENERAL ACUTE,,DSH,300-499,,52986.0,67405.9869258302,12553.0,LOS ANGELES,,,,,
106380929.0,california pac med ctrpacific campus,1997,28.596338433798607,71.4036615662014,GENERAL ACUTE,,Non-DSH,500+,Teaching,130216.0,182365.99796674456,22364.0,SAN FRANCISCO,,,,,
106190555.0,cedarssinai medical center,1997,22.92607662334572,77.07392337665428,GENERAL ACUTE,,Non-DSH,500+,Teaching,211418.0,274305.48587336944,38870.0,LOS ANGELES,LOS ANGELES,190555.0,cedarssinai medical center,,1.23
106190148.0,centinela hospital medical center,1997,23.419638349110336,76.58036165088966,GENERAL ACUTE,,Non-DSH,300-499,,67646.0,88333.35145161739,13540.0,LOS ANGELES,LOS ANGELES,190148.0,centinela hospital medical center,,1.05
106160787.0,central valley general hospital,1997,46.32238684241628,53.677613157583714,GENERAL ACUTE,,DSH,1-49,,9127.0,17003.364089989373,2482.0,KINGS,KINGS,160787.0,central valley general hospital,,0.78
106190155.0,century city hospital,1997,32.61770422444369,67.38229577555632,GENERAL ACUTE,,DSH,150-199,,25536.0,37897.194962097856,4052.0,LOS ANGELES,,,,,
106301140.0,chapman medical center,1997,30.67635336393557,69.32364663606442,GENERAL ACUTE,,Non-DSH,100-149,,12958.0,18692.034578081217,2742.0,ORANGE,,,,,
106040828.0,chico community hospital,1997,38.03736269275568,61.96263730724433,GENERAL ACUTE,,Non-DSH,100-149,,15822.0,25534.742689446797,2804.0,BUTTE,,,,,
106370673.0,childrens hospital  san diego,1997,27.75874415554601,72.24125584445399,GENERAL ACUTE,,DSH,200-299,,66648.0,92257.53237665596,10327.0,SAN DIEGO,,,,,
106304113.0,childrens hospital at mission,1997,26.30504985524046,73.69495014475955,GENERAL ACUTE,,Non-DSH,1-49,,6261.0,8495.833144199802,1602.0,ORANGE,ORANGE,304113.0,childrens hospital at mission,,1.1
106010776.0,childrens hospital med ctr of no cal,1997,22.723787436807022,77.27621256319298,GENERAL ACUTE,,DSH,200-299,Teaching,53364.0,69056.17942437505,9764.0,ALAMEDA,,,,,
106190170.0,childrens hospital of los angeles,1997,18.203376749838636,81.79662325016137,GENERAL ACUTE,,DSH,300-499,Teaching,80461.0,98367.14133531334,10606.0,LOS ANGELES,LOS ANGELES,190170.0,childrens hospital of los angeles,,1.44
106300032.0,childrens hospital of orange county,1997,27.00479452541364,72.99520547458636,GENERAL ACUTE,,DSH,150-199,,30219.0,41398.609406642325,5957.0,ORANGE,ORANGE,300032.0,childrens hospital of orange county,,1.14
