FAC_NO,FAC_NAME,Year,Gross_Outpatient_Percentage,Gross_Inpatient_Percentage,TYPE_CARE,HSA name,DSH hosp,lic bed size,TEACH_RURL,DAY_TOT,adj pat days,DIS_TOT,county name,COUNTY,OSHPD_ID,HOSPITAL,FY_Score,CY_Score
106540680,alta hospital district,1997,43.753983632001855,56.246016367998145,GENERAL ACUTE,,Non-DSH,50-99,Rural,6561,11664.826104436723,1378,TULARE,TULARE,540680,alta hospital district,,1.04
106190045,avalon municipal hospital  clinic,1997,41.05805511545485,58.94194488454515,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,3772,6399.517368129867,44,LOS ANGELES,,,,,
106361105,barstow community hospital,1997,35.87679519673984,64.12320480326017,GENERAL ACUTE,,Non-DSH,50-99,Rural,10795,16834.779286407655,2949,SAN BERNARDINO,SAN BERNARDINO,361105,barstow community hospital,,1.01
106361105,barstow community hospital,1997,35.87679519673984,64.12320480326017,GENERAL ACUTE,,Non-DSH,50-99,Rural,10795,16834.779286407655,2949,SAN BERNARDINO,SAN BERNARDINO,364430,barstow community hospital,,
106090793,barton memorial hospital,1997,46.01454910044706,53.98545089955293,GENERAL ACUTE,,Non-DSH,100-149,Rural,19247,35652.19829,6769,EL DORADO,EL DORADO,90793,barton memorial hospital,,0.9
106361110,bear valley community hospital,1997,53.44976438254094,46.55023561745906,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,6978,14990.257100616785,553,SAN BERNARDINO,SAN BERNARDINO,361110,bear valley community hospital,,1.01
106040802,biggsgridley memorial hospital,1997,55.55425539420678,44.44574460579322,GENERAL ACUTE,,Non-DSH,50-99,Rural,8933,20098.662041170166,1040,BUTTE,,,,,
106240803,bloss memorial district hospital,1997,81.93729260590108,18.062707394098926,GENERAL ACUTE,,DSH,Jan-49,Rural,1081,5984.706369949623,266,MERCED,MERCED,240803,bloss memorial district hospital,,0.93
106200692,chowchilla district memorial hospital,1997,45.84953640841298,54.15046359158702,GENERAL ACUTE,,DSH,Jan-49,Rural,6328,11685.957202004707,233,MADERA,MADERA,200692,chowchilla district memorial hospital,,0.98
106100697,coalinga regional medical center,1997,41.35946639253456,58.64053360746545,GENERAL ACUTE,,Non-DSH,50-99,Rural,16603,28313.18028437295,1068,FRESNO,FRESNO,100697,coalinga regional medical center,,0.8
106490964,columbia healdsburg general hospital,1997,45.042215099843105,54.957784900156895,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,9065,16494.478473738705,1868,SONOMA,,,,,
106060870,colusa community hospital,1997,50.91546716497043,49.08453283502956,GENERAL ACUTE,,Non-DSH,50-99,Rural,4119,8391.645518647869,942,COLUSA,,,,,
106160702,corcoran district hospital,1997,59.87997616501214,40.120023834987855,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,5265,13123.122811827696,1159,KINGS,KINGS,160702,corcoran district hospital,,0.81
106500850,del puerto hospital,1997,58.29661369803273,41.703386301967264,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,8127,19487.62611542801,79,STANISLAUS,STANISLAUS,500850,del puerto hospital,,1
106240853,dos palos memorial hospital,1997,45.571604088455295,54.428395911544705,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,10022,18413.182736980594,152,MERCED,MERCED,240853,dos palos memorial hospital,,0.81
106320859,eastern plumas district hospital,1997,56.629833347649715,43.370166652350285,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,6812,15706.64935323888,448,PLUMAS,,,,,
106474007,fairchild medical center,1997,58.30461143383625,41.69538856616375,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,1792,4297.837390713819,605,SISKIYOU,SISKIYOU,474007,fairchild medical center,,1
106370705,fallbrook hospital district,1997,36.69188548888972,63.30811451111029,GENERAL ACUTE,,Non-DSH,100-149,Rural,35048,55360.991668531264,2195,SAN DIEGO,SAN DIEGO,370705,fallbrook hospital district,,0.86
106230949,frank r howard memorial hospital,1997,48.26685173057757,51.733148269422436,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,3559,6879.534919206907,930,MENDOCINO,MENDOCINO,230949,frank r howard memorial hospital,,1.25
106270777,george l mee memorial hospital,1997,52.452610475448935,47.54738952455106,GENERAL ACUTE,,DSH,Jan-49,Rural,7897,16608.693093281996,1261,MONTEREY,MONTEREY,270777,george l mee memorial hospital,,0.68
106110889,glenn medical center,1997,85.02116799188161,14.978832008118397,GENERAL ACUTE,,Non-DSH,50-99,Rural,817,5454.363862,307,GLENN,GLENN,110889,glenn medical center,,0.89
106160725,hanford community hospital,1997,55.53320648517614,44.46679351482386,GENERAL ACUTE,,Non-DSH,50-99,Rural,16848,37888.947388084984,5001,KINGS,,,,,
106350784,hazel hawkins memorial hospital,1997,46.448516629960714,53.551483370039286,GENERAL ACUTE,,Non-DSH,100-149,Rural,24258,45298.46509,2144,SAN BENITO,SAN BENITO,350784,hazel hawkins memorial hospital,,0.86
106362041,hidesert medical center,1997,24.91499283178957,75.08500716821042,GENERAL ACUTE,,DSH,150-199,Rural,39999,53271.620405378104,2975,SAN BERNARDINO,SAN BERNARDINO,362041,hidesert medical center,,1.26
106320874,indian valley hospital,1997,38.944409759818065,61.055590240181935,GENERAL ACUTE,,Non-DSH,Jan-49,Rural,8516,13947.94476066738,258,PLUMAS,PLUMAS,320874,indian valley hospital,,0.96
106334001,inland valley regional medical center,1997,28.12095438599887,71.87904561400114,GENERAL ACUTE,,Non-DSH,50-99,Rural,15448,21491.65986838162,5629,RIVERSIDE,,,,,
106220733,john c fremont healthcare district,1997,59.82564685857611,40.17435314142389,GENERAL ACUTE,,DSH,Jan-49,Rural,7230,17996.5561,457,MARIPOSA,MARIPOSA,220733,john c fremont healthcare district,,0.9
106150737,kern valley hospital,1997,31.22577912958318,68.77422087041683,GENERAL ACUTE,,DSH,100-149,Rural,28766,41826.71884309732,1191,KERN,,,,,
106100745,kingsburg medical hospital,1997,56.14838617492806,43.85161382507194,GENERAL ACUTE,,DSH,Jan-49,Rural,5891,13433.941162347486,119,FRESNO,,,,,
106180919,lassen community hospital,1997,52.14070013933391,47.85929986066609,GENERAL ACUTE,,Non-DSH,50-99,Rural,11733,24515.61145724772,1168,LASSEN,,,,,
106540746,lindsay district hospital,1997,29.20159425333993,70.79840574666008,GENERAL ACUTE,,DSH,100-149,Rural,17886,25263.28074,2928,TULARE,TULARE,540746,lindsay district hospital,,0.73
